77.807,1.14E+06,160,0
77.807,1.14E+06,210,0
77.807,1.14E+06,235,0
77.807,1.14E+06,261,0
77.807,1.14E+06,312,0
77.807,1.14E+06,337,0
77.807,1.14E+06,362,0
77.807,1.14E+06,413,0
77.807,1.14E+06,464,0
77.807,1.14E+06,515,0
77.807,1.14E+06,566,0
77.807,1.14E+06,642,0
77.807,1.14E+06,718,0
77.807,1.14E+06,819,0
77.807,1.14E+06,908,0
77.807,1.14E+06,1067,0
77.807,1.14E+06,1270,0
77.807,1.14E+06,1473,0
77.807,1.14E+06,1651,0
77.807,1.14E+06,1829,0
77.807,1.14E+06,2109,0
,,,
107.74,1.39E+06,160,0
107.74,1.39E+06,210,0
107.74,1.39E+06,235,0
107.74,1.39E+06,261,0
107.74,1.39E+06,312,0
107.74,1.39E+06,337,0
107.74,1.39E+06,362,0
107.74,1.39E+06,413,0
107.74,1.39E+06,464,0
107.74,1.39E+06,515,0
107.74,1.39E+06,566,0
107.74,1.39E+06,642,0
107.74,1.39E+06,718,0
107.74,1.39E+06,819,0
107.74,1.39E+06,908,0
107.74,1.39E+06,1067,0
107.74,1.39E+06,1270,0
107.74,1.39E+06,1473,0
107.74,1.39E+06,1651,0
107.74,1.39E+06,1829,0
107.74,1.39E+06,2109,0
,,,
75.681,6.67E+05,160,0
75.681,6.67E+05,210,0
75.681,6.67E+05,235,0
75.681,6.67E+05,261,0
75.681,6.67E+05,312,0
75.681,6.67E+05,337,0
75.681,6.67E+05,362,0
75.681,6.67E+05,413,0
75.681,6.67E+05,464,0
75.681,6.67E+05,515,0
75.681,6.67E+05,566,0
75.681,6.67E+05,642,0
75.681,6.67E+05,718,0
75.681,6.67E+05,819,0
75.681,6.67E+05,908,0
75.681,6.67E+05,1067,0
75.681,6.67E+05,1270,0
75.681,6.67E+05,1473,0
75.681,6.67E+05,1651,0
75.681,6.67E+05,1829,0
75.681,6.67E+05,2109,0
,,,
218.84,4.28E+06,160,0
218.84,4.28E+06,210,0
218.84,4.28E+06,235,0
218.84,4.28E+06,261,0
218.84,4.28E+06,312,0
218.84,4.28E+06,337,0
218.84,4.28E+06,362,0
218.84,4.28E+06,413,0
218.84,4.28E+06,464,0
218.84,4.28E+06,515,0
218.84,4.28E+06,566,0
218.84,4.28E+06,642,0
218.84,4.28E+06,718,1
218.84,4.28E+06,819,1
218.84,4.28E+06,908,1
218.84,4.28E+06,1067,1
218.84,4.28E+06,1270,1
218.84,4.28E+06,1473,1
218.84,4.28E+06,1651,1
218.84,4.28E+06,1829,1
218.84,4.28E+06,2109,1
,,,
273.64,4.27E+06,160,0
273.64,4.27E+06,210,0
273.64,4.27E+06,235,0
273.64,4.27E+06,261,0
273.64,4.27E+06,312,0
273.64,4.27E+06,337,0
273.64,4.27E+06,362,0
273.64,4.27E+06,413,0
273.64,4.27E+06,464,0
273.64,4.27E+06,515,0
273.64,4.27E+06,566,0
